Structure,T(K),P(bar),Loading(mol/uc),Std,Loading(mg/g),Loading(cm3STP/cm3),Henry(mol/kg/Pa),Energy(kJ/mol),Acc_Insert,Acc_Delete,Acc_Translate,N_Cycles
ABAVIJ_clean_pacman,298.0,1.0,0.0900,0.2862,3.27,2.54,7.422408e-07,-2.95,0.0082,0.0083,0.0093,500
mof_candidate_001_relaxed,298.0,1.0,0.2840,0.5266,16.26,9.18,3.694622e-06,-9.32,0.0161,0.0166,0.0471,5000
mof_candidate_014_relaxed,298.0,1.0,0.8388,0.8198,48.02,27.10,1.091215e-05,-30.58,0.0102,0.0091,0.0502,5000
mof_candidate_001_relaxed,298.0,1.0,0.4168,0.5585,23.86,13.47,5.422248e-06,-13.94,0.0155,0.0157,0.0526,5000
mof_candidate_002_relaxed,298.0,1.0,0.4146,0.5279,23.74,13.40,5.393628e-06,-14.33,0.0166,0.0170,0.0269,5000
mof_candidate_003_relaxed,298.0,1.0,0.0086,0.0923,0.49,0.28,1.118794e-07,-0.22,0.0012,0.0012,0.0010,5000
mof_candidate_001_relaxed,298.0,1.0,0.4082,0.5321,23.37,13.19,5.310369e-06,-13.85,0.0172,0.0177,0.0660,5000
mof_candidate_002_relaxed,298.0,1.0,0.2052,0.4462,11.75,6.63,2.669495e-06,-6.46,0.0117,0.0120,0.0048,5000
mof_candidate_003_relaxed,298.0,1.0,0.0094,0.0965,0.54,0.30,1.222868e-07,-0.26,0.0025,0.0024,0.0005,5000
mof_candidate_004_relaxed,298.0,1.0,0.1152,0.3387,6.60,3.72,1.498664e-06,-3.46,0.0114,0.0114,0.0076,5000
mof_candidate_005_relaxed,298.0,1.0,0.0006,0.0245,0.03,0.02,7.805540e-09,-0.01,0.0004,0.0004,0.0000,5000
mof_candidate_006_relaxed,298.0,1.0,0.4094,0.5453,23.44,13.23,5.325980e-06,-13.81,0.0142,0.0142,0.0499,5000
mof_candidate_007_relaxed,298.0,1.0,0.0480,0.2211,2.75,1.55,6.244432e-07,-1.32,0.0082,0.0082,0.0033,5000
